year,account_code,account_name_en,account_name_ar,account_type,management_group,amount
2024,5701,Advertising & Promotion,الدعاية والإعلان,Expense,marketing_advertising,18502.77
2024,5801,Workshop Supplies,مستلزمات الورشة,Expense,operating_supplies,26432.53
2024,5802,Safety Equipment,معدات السلامة,Expense,operating_supplies,7929.76
2024,5803,Fuel & Lubricants,وقود وزيوت,Expense,operating_supplies,18502.77
2024,5804,Packaging Materials,مواد تغليف,Expense,operating_supplies,6608.13
2024,5805,Freight & Shipping,نقل وشحن,Expense,operating_supplies,6608.13
2024,5901,Depreciation - Equipment,إهلاك المعدات,Expense,depreciation,13516.64
2024,5902,Depreciation - Vehicles,إهلاك المركبات,Expense,depreciation,8109.98
2024,5903,Depreciation - Furniture,إهلاك الأثاث,Expense,depreciation,5406.65
2024,6001,Cost of Goods Sold,تكلفة البضاعة المباعة,Expense,cogs,42051.76
2024,6101,Fines & Penalties,غرامات وجزاءات,Expense,fines_penalties,4205.18
2024,6201,Zakat,الزكاة,Expense,zakat,7208.87
2024,6301,Miscellaneous Expenses,مصروفات متنوعة,Expense,other_discounts,5406.65
2024,6302,Discounts Allowed,خصومات مسموح بها,Expense,other_discounts,3604.44
2025,4001,Workshop Revenue,ايرادات الورشة,Revenue,,855400.0
2025,4002,Other Revenue,ايرادات متنوعة,Revenue,,56400.0
2025,4003,Settlement Discount,خصم تسوية,Revenue,,28200.0
2025,5101,Salaries & Wages,الأجور والرواتب,Expense,employee_costs,287829.4
2025,5102,Housing Allowance,بدل السكن,Expense,employee_costs,39249.46
2025,5103,Vacation Allowance,بدل الإجازة,Expense,employee_costs,23549.68
2025,5104,Employee Medical Insurance,التأمين الطبي للموظفين,Expense,employee_costs,28782.94
2025,5105,GOSI Contributions,الاشتراكات النظامية (التأمينات الاجتماعية),Expense,employee_costs,44482.73
2025,5106,Labor Office Fees,رسوم مكتب العمل,Expense,employee_costs,15699.79
2025,5107,Residency (Iqama) Fees,رسوم الإقامة,Expense,employee_costs,13083.15
2025,5108,End-of-Service Provision,مخصص نهاية الخدمة,Expense,employee_costs,23549.68
2025,5109,Staff Travel & Transport,سفر وانتقالات الموظفين,Expense,employee_costs,11513.18
2025,5110,Overtime & Bonuses,المكافآت والعمل الإضافي,Expense,employee_costs,9419.87
2025,5111,Staff Meals,وجبات الموظفين,Expense,employee_costs,5233.26
2025,5112,Staff Training & Development,تدريب وتطوير الموظفين,Expense,employee_costs,6279.91
2025,5201,Municipality Fees,رسوم البلدية,Expense,government_regulatory_fees,16657.58
2025,5202,Commercial Registration Fees,رسوم السجل التجاري,Expense,government_regulatory_fees,11105.05
2025,5301,Workshop Rent,إيجار الورشة,Expense,occupancy_facilities,56142.2
2025,5302,Electricity,الكهرباء,Expense,occupancy_facilities,15547.07
2025,5303,Water,المياه,Expense,occupancy_facilities,6046.08
2025,5304,Facility Maintenance,صيانة المرافق,Expense,occupancy_facilities,8637.26
2025,5401,Equipment Maintenance,صيانة المعدات,Expense,maintenance_repairs,27762.63
2025,5402,Vehicle Maintenance,صيانة المركبات,Expense,maintenance_repairs,19433.84
2025,5403,Tools Maintenance,صيانة الأدوات,Expense,maintenance_repairs,8328.79
2025,5501,Vehicle Insurance,تأمين المركبات,Expense,insurance,8143.7
2025,5502,Property Insurance,تأمين الممتلكات,Expense,insurance,5429.14
2025,5601,Bank Charges,رسوم بنكية,Expense,administrative_professional,5552.53
2025,5602,Legal & Accounting Fees,أتعاب قانونية ومحاسبية,Expense,administrative_professional,13881.31
2025,5603,Office Supplies,قرطاسية ومطبوعات,Expense,administrative_professional,6015.24
2025,5604,Telephone & Internet,هاتف وإنترنت,Expense,administrative_professional,6940.66
2025,5605,Software Subscriptions,اشتراكات برمجية,Expense,administrative_professional,4627.1
2025,5701,Advertising & Promotion,الدعاية والإعلان,Expense,marketing_advertising,16287.41
2025,5801,Workshop Supplies,مستلزمات الورشة,Expense,operating_supplies,27145.68
2025,5802,Safety Equipment,معدات السلامة,Expense,operating_supplies,8143.7
2025,5803,Fuel & Lubricants,وقود وزيوت,Expense,operating_supplies,19001.98
2025,5804,Packaging Materials,مواد تغليف,Expense,operating_supplies,6786.42
2025,5805,Freight & Shipping,نقل وشحن,Expense,operating_supplies,6786.42
2025,5901,Depreciation - Equipment,إهلاك المعدات,Expense,depreciation,13881.31
2025,5902,Depreciation - Vehicles,إهلاك المركبات,Expense,depreciation,8328.79
2025,5903,Depreciation - Furniture,إهلاك الأثاث,Expense,depreciation,5552.53
2025,6001,Cost of Goods Sold,تكلفة البضاعة المباعة,Expense,cogs,43186.31
2025,6101,Fines & Penalties,غرامات وجزاءات,Expense,fines_penalties,4318.63
2025,6201,Zakat,الزكاة,Expense,zakat,7403.37
2025,6301,Miscellaneous Expenses,مصروفات متنوعة,Expense,other_discounts,5552.53
2025,6302,Discounts Allowed,خصومات مسموح بها,Expense,other_discounts,3701.68
